ID,Area,Header,Group,Description,Value Type,Value,NC,CPA,Unipoint Schema Name,Blank Test
263,6.Corrective and Preventive Actions,Document Actions,Action 3,Corrective Action Code,String,0,FALSE,FALSE,0,Null
264,6.Corrective and Preventive Actions,Document Actions,Action 4,Action,String,0,FALSE,FALSE,0,Null
265,6.Corrective and Preventive Actions,Document Actions,Action 4,Corrective,Boolean,FALSE,FALSE,FALSE,0,Null
266,6.Corrective and Preventive Actions,Document Actions,Action 4,Preventative,Boolean,FALSE,FALSE,FALSE,0,Null
267,6.Corrective and Preventive Actions,Document Actions,Action 4,Assigned To,String,0,FALSE,FALSE,0,Null
268,6.Corrective and Preventive Actions,Document Actions,Action 4,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
269,6.Corrective and Preventive Actions,Document Actions,Action 4,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
270,6.Corrective and Preventive Actions,Document Actions,Action 4,Corrective Action Code,String,0,FALSE,FALSE,0,Null
271,6.Corrective and Preventive Actions,Document Actions,Action 5,Action,String,0,FALSE,FALSE,0,Null
272,6.Corrective and Preventive Actions,Document Actions,Action 5,Corrective,Boolean,FALSE,FALSE,FALSE,0,Null
273,6.Corrective and Preventive Actions,Document Actions,Action 5,Preventative,Boolean,FALSE,FALSE,FALSE,0,Null
274,6.Corrective and Preventive Actions,Document Actions,Action 5,Assigned To,String,0,FALSE,FALSE,0,Null
275,6.Corrective and Preventive Actions,Document Actions,Action 5,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
276,6.Corrective and Preventive Actions,Document Actions,Action 5,Planned Objective Evidence,String,0,FALSE,FALSE,0,Null
277,6.Corrective and Preventive Actions,Document Actions,Action 5,Corrective Action Code,String,0,FALSE,FALSE,0,Null
278,6.Corrective and Preventive Actions,Review and Update,Drawing/Print,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
279,6.Corrective and Preventive Actions,Review and Update,Drawing/Print,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
280,6.Corrective and Preventive Actions,Review and Update,Inspection Plan,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
281,6.Corrective and Preventive Actions,Review and Update,Inspection Plan,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
282,6.Corrective and Preventive Actions,Review and Update,Router,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
283,6.Corrective and Preventive Actions,Review and Update,Router,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
284,6.Corrective and Preventive Actions,Review and Update,Batch Card,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
285,6.Corrective and Preventive Actions,Review and Update,Batch Card,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
286,6.Corrective and Preventive Actions,Review and Update,Process Control Plan,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
287,6.Corrective and Preventive Actions,Review and Update,Process Control Plan,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
288,6.Corrective and Preventive Actions,Review and Update,PFMEA,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
289,6.Corrective and Preventive Actions,Review and Update,PFMEA,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
290,6.Corrective and Preventive Actions,Review and Update,Test Instruction,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
291,6.Corrective and Preventive Actions,Review and Update,Test Instruction,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
292,6.Corrective and Preventive Actions,Review and Update,Work Instruction,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
293,6.Corrective and Preventive Actions,Review and Update,Work Instruction,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
294,6.Corrective and Preventive Actions,Review and Update,Operating Procedure,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
295,6.Corrective and Preventive Actions,Review and Update,Operating Procedure,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
296,6.Corrective and Preventive Actions,Review and Update,Process Flow Diagram,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
297,6.Corrective and Preventive Actions,Review and Update,Process Flow Diagram,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
298,6.Corrective and Preventive Actions,Review and Update,PPAP,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
299,6.Corrective and Preventive Actions,Review and Update,PPAP,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
300,6.Corrective and Preventive Actions,Review and Update,Frozen Planning,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
301,6.Corrective and Preventive Actions,Review and Update,Frozen Planning,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
302,6.Corrective and Preventive Actions,Review and Update,First Article,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
303,6.Corrective and Preventive Actions,Review and Update,First Article,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
304,6.Corrective and Preventive Actions,Review and Update,Other Document 1,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
305,6.Corrective and Preventive Actions,Review and Update,Other Document 1,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
306,6.Corrective and Preventive Actions,Review and Update,Other Document 2,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
307,6.Corrective and Preventive Actions,Review and Update,Other Document 2,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
308,6.Corrective and Preventive Actions,Review and Update,Manufacturing Procedure/Instruction,Updated,Boolean,FALSE,FALSE,FALSE,0,Null
309,6.Corrective and Preventive Actions,Review and Update,Manufacturing Procedure/Instruction,N/A,Boolean,FALSE,FALSE,FALSE,0,Null
310,7.Verify the Solution,Document Actions,Action 1,Action,String,0,FALSE,FALSE,0,Null
311,7.Verify the Solution,Document Actions,Action 1,Assigned To,String,0,FALSE,FALSE,0,Null
312,7.Verify the Solution,Document Actions,Action 1,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
313,7.Verify the Solution,Document Actions,Action 2,Action,String,0,FALSE,FALSE,0,Null
314,7.Verify the Solution,Document Actions,Action 2,Assigned To,String,0,FALSE,FALSE,0,Null
315,7.Verify the Solution,Document Actions,Action 2,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
316,7.Verify the Solution,Document Actions,Action 3,Action,String,0,FALSE,FALSE,0,Null
317,7.Verify the Solution,Document Actions,Action 3,Assigned To,String,0,FALSE,FALSE,0,Null
318,7.Verify the Solution,Document Actions,Action 3,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
319,7.Verify the Solution,Document Actions,Action 4,Action,String,0,FALSE,FALSE,0,Null
320,7.Verify the Solution,Document Actions,Action 4,Assigned To,String,0,FALSE,FALSE,0,Null
321,7.Verify the Solution,Document Actions,Action 4,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
322,7.Verify the Solution,Document Actions,Action 5,Action,String,0,FALSE,FALSE,0,Null
323,7.Verify the Solution,Document Actions,Action 5,Assigned To,String,0,FALSE,FALSE,0,Null
324,7.Verify the Solution,Document Actions,Action 5,Due Date,Date,1/0/1900,FALSE,FALSE,0,Null
325,8.Obtain Approval and Support,Approvals,Team Leader,Signature,String,0,FALSE,FALSE,0,Null
326,8.Obtain Approval and Support,Approvals,Team Leader,Date,Date,1/0/1900,FALSE,FALSE,0,Null
327,8.Obtain Approval and Support,Approvals,Team Leader,Contact Info,String,0,FALSE,FALSE,0,Null
328,8.Obtain Approval and Support,Approvals,Quality Manager,Signature,String,0,FALSE,FALSE,0,Null
329,8.Obtain Approval and Support,Approvals,Quality Manager,Date,Date,1/0/1900,FALSE,FALSE,0,Null
330,8.Obtain Approval and Support,Approvals,Quality Manager,Contact Info,String,0,FALSE,FALSE,0,Null
331,8.Obtain Approval and Support,Approvals,Additional Approval,Signature,String,0,FALSE,FALSE,0,Null
332,8.Obtain Approval and Support,Approvals,Additional Approval,Date,Date,1/0/1900,FALSE,FALSE,0,Null
333,8.Obtain Approval and Support,Approvals,Additional Approval,Contact Info,String,0,FALSE,FALSE,0,Null
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
